video_file,title,description,scheduled_date,schedule_time
,,,,
,,,,
P:\Shorts-ai\Coding-here\API-YT\output_3.mp4,🔥 Think You’re Smart? Solve This Puzzle! #SmartChallenge #PuzzleChallenge,Here’s a brain teaser that will leave you thinking! Can you crack it? Leave your answer in the comments! 🧩,04-08-25,22:15:00
P:\Shorts-ai\Coding-here\API-YT\output_4.mp4,💡 Can You Crack This Impossible Riddle? #ImpossibleRiddle #MindChallenge,This riddle is harder than it looks! 🤔 Try it and see if you can solve it! Comment your answer below!,04-09-25,15:15:00
P:\Shorts-ai\Coding-here\API-YT\output_5.mp4,🧐 Test Your Brain: Solve This Riddle! #MindBending #BrainTest #PuzzleLovers,Most people fail this riddle! Think you can beat the odds? Try now and share your answer! 🔥,04-09-25,18:15:00
P:\Shorts-ai\Coding-here\API-YT\output_6.mp4,🤔 Can You Solve This Tricky Riddle? #TrickyRiddle #BrainChallenge #TestYourMind,Challenge yourself with this mind-blowing riddle! Comment if you cracked it! 🚀,04-09-25,22:15:00
P:\Shorts-ai\Coding-here\API-YT\output_7.mp4,🧩 The Ultimate Riddle Challenge! Try It! #UltimateRiddle #ChallengeYourMind,"If you love brain teasers, this one is for you! Can you figure it out? Drop your answer below!",04-10-25,15:15:00
P:\Shorts-ai\Coding-here\API-YT\output_8.mp4,🕵️‍♂️ Outsmart This Tricky Riddle! #OutsmartChallenge #TrickyRiddle #RiddleMaster,Smart minds solve riddles! Are you one of them? Prove it in the comments! 🤓,04-10-25,18:15:00
P:\Shorts-ai\Coding-here\API-YT\output_9.mp4,😲 This Riddle Has a Twist! Can You Solve It? #RiddleTwist #PuzzleChallenge,This tricky puzzle is confusing everyone! Can you get the right answer? Let us know below!,04-10-25,22:15:00
P:\Shorts-ai\Coding-here\API-YT\output_10.mp4,⚡ Quick Brain Teaser! Solve It! #QuickRiddle #BrainTeaser #MindChallenge,Try this lateral thinking puzzle and see if you can think outside the box! 🎭,04-11-25,15:15:00
P:\Shorts-ai\Coding-here\API-YT\output_11.mp4,🤔 Most Get This Wrong! Can You Solve It? #TrickyRiddle #RiddleTest #PuzzleChallenge,Solve this riddle if you're a true genius! Drop your answer below! 🏆,04-11-25,18:15:00
P:\Shorts-ai\Coding-here\API-YT\output_12.mp4,⚡ Quick Teaser! Can You Solve It? #QuickTeaser #PuzzleChallenge #SolveItNow,"Many try, but few succeed! Can you crack this brain teaser? Leave your guess!",04-11-25,22:15:00
P:\Shorts-ai\Coding-here\API-YT\output_13.mp4,🕰️ Timeless Riddle Challenge! #TimelessRiddle #MindTeaser #PuzzleTime,Only people with high IQs can figure this one out! Are you one of them?,04-12-25,15:15:00
P:\Shorts-ai\Coding-here\API-YT\output_14.mp4,🧠 This Riddle is Harder Than You Think! #HardRiddle #BrainTeaser #TestYourMind,This riddle is harder than it looks! 🤔 Try it and see if you can solve it! Comment your answer below!,04-12-25,18:15:00
P:\Shorts-ai\Coding-here\API-YT\output_15.mp4,🚀 Smartest Can Solve This Riddle! #SmartestChallenge #MindChallenge,This tricky puzzle is confusing everyone! Can you get the right answer? Let us know below!,04-12-25,22:15:00
P:\Shorts-ai\Coding-here\API-YT\output_16.mp4,🏆 Solve This Riddle & Prove Intelligence! #RiddleChallenge #MindPuzzle,Think you’re a genius? This puzzle will put your intelligence to the test!,04-13-25,15:15:00
P:\Shorts-ai\Coding-here\API-YT\output_17.mp4,💥 This Riddle Will Leave You Speechless! #MindBlown #SpeechlessRiddle,This puzzle is a real head-scratcher! Try it now and comment your guess!,04-13-25,18:15:00
P:\Shorts-ai\Coding-here\API-YT\output_18.mp4,📜 Ancient Riddle: Can You Solve It? #AncientRiddle #UnsolvedPuzzle,Ready to test your IQ? 🤯 Solve this logic puzzle and prove your intelligence!,04-13-25,22:15:00
P:\Shorts-ai\Coding-here\API-YT\output_19.mp4,💡 Can You Crack This Impossible Riddle? #ImpossibleRiddle #PuzzleTime,This is one of the hardest riddles ever! Give it a shot and tell us your answer!,04-14-25,15:15:00
P:\Shorts-ai\Coding-here\API-YT\output_20.mp4,🤯 Blow Your Mind with This Riddle! #MindBlown #PuzzleTime #BrainTeasers,Think you’re a genius? 🤯 Try solving this tricky riddle! Drop your answer in the comments! 👇 #Shorts,04-14-25,18:15:00
P:\Shorts-ai\Coding-here\API-YT\output_21.mp4,🔥 Think You’re Smart? Solve This Puzzle! #SmartChallenge #SolveThis,"If you love brain teasers, this one is for you! Can you figure it out? Drop your answer below!",04-14-25,22:15:00
P:\Shorts-ai\Coding-here\API-YT\output_22.mp4,🧐 Test Your Brain: Mind-Bending Riddle! #MindBending #PuzzleLovers,This riddle has a hidden twist! Look closely and comment your answer! 👀,04-15-25,15:15:00
P:\Shorts-ai\Coding-here\API-YT\output_23.mp4,🧩 Ultimate Riddle Challenge! #UltimateRiddle #MindChallenge,Smart minds solve riddles! Are you one of them? Prove it in the comments! 🤓,04-15-25,18:15:00
P:\Shorts-ai\Coding-here\API-YT\output_24.mp4,😲 This Riddle Has a Twist! Can You Solve It? #RiddleTwist #TestYourBrain,Challenge yourself with this mind-blowing riddle! Comment if you cracked it! 🚀,04-15-25,22:15:00
P:\Shorts-ai\Coding-here\API-YT\output_25.mp4,🔍 A Tricky Riddle to Test Your IQ! #TrickyRiddle #TestYourBrain,Most people fail this riddle! Think you can beat the odds? Try now and share your answer! 🔥,04-16-25,15:15:00
P:\Shorts-ai\Coding-here\API-YT\output_26.mp4,🧠 Only 1% Can Solve This! #RiddleChallenge #MindPuzzle,Test your brainpower with this tricky puzzle! Only a few can get it right—are you one of them? Comment below!,04-16-25,18:15:00
P:\Shorts-ai\Coding-here\API-YT\output_27.mp4,🎯 Can You Find the Hidden Answer? #HiddenAnswer #RiddleChallenge,Try this lateral thinking puzzle and see if you can think outside the box! 🎭,04-16-25,22:15:00
P:\Shorts-ai\Coding-here\API-YT\output_28.mp4,🎢 This Brain Teaser is a Rollercoaster! #BrainTeaser #PuzzleTime,This classic riddle has stumped even the smartest! Can you solve it? Comment below!,04-17-25,15:15:00
P:\Shorts-ai\Coding-here\API-YT\output_29.mp4,🎭 Can You Think Outside the Box? #PuzzleChallenge #TestYourMind,A simple-looking riddle that’s trickier than it seems! Can you solve it?,04-17-25,18:15:00
P:\Shorts-ai\Coding-here\API-YT\output_30.mp4,🕵️‍♂️ Outsmart This Tricky Riddle! #TrickyRiddle #RiddleMaster,Here’s a brain teaser that will leave you thinking! Can you crack it? Leave your answer in the comments! 🧩,04-17-25,22:15:00
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,

